Token,SHAP Importance,Importance Ratio,Cumulative Importance
ck,0.0019585042269456955,7.94403174227358e-05,0.966863437428523
 porque,0.0019572306733279385,7.938865988620484e-05,0.9669428260884092
stan,0.0019550618050353866,7.930068683859128e-05,0.9670221267752478
 aquí,0.001954236038845442,7.926719233429375e-05,0.9671013939675821
 labor,0.0019537051725718713,7.924565948044475e-05,0.9671806396270626
 consecuencia,0.0019513075798749924,7.914840897555943e-05,0.9672597880360382
 torn,0.0019458794108062397,7.892823305359144e-05,0.9673387162690917
illo,0.0019458794108062397,7.892823305359144e-05,0.9674176445021453
rc,0.0019438462646027643,7.88457651285552e-05,0.9674964902672738
46,0.0019423459402539514,7.878490937911797e-05,0.9675752751766529
 cambió,0.0019369544399281343,7.856622080475853e-05,0.9676538413974576
 fueron,0.0019324924709861462,7.838523563035597e-05,0.9677322266330879
 pag,0.0019324908831289836,7.838517122412426e-05,0.967810611804312
vd,0.0019305920818956889,7.830815256334208e-05,0.9678889199568754
 co,0.0019288360362275947,7.823692431508868e-05,0.9679671568811905
 &,0.00192630086094141,7.813409322252022e-05,0.968045290974413
AN,0.001923175232532697,7.800731233049175e-05,0.9681232982867436
TE,0.001923175232532697,7.800731233049175e-05,0.9682013055990741
 gen,0.0019174527132972364,7.777519705687213e-05,0.968279080796131
cula,0.0019154953459898632,7.769580285487281e-05,0.9683567765989859
